R,G,B
255, 182, 193
255, 182, 193
255, 255, 255
255, 255, 255
255, 182, 193
255, 182, 193
255, 182, 193
255, 182, 193
255, 182, 193
255, 255, 255
255, 255, 255
255, 255, 255
255, 182, 193
255, 182, 193
255, 182, 193
255, 182, 193
255, 255, 255
255, 255, 255
255, 182, 193
255, 182, 193
255, 182, 193
255, 182, 193
255, 255, 255
255, 255, 255
255, 255, 255
255, 255, 255
255, 182, 193
255, 182, 193
255, 182, 193
255, 255, 255
255, 255, 255
255, 255, 255
255, 255, 255
255, 182, 193
255, 182, 193
255, 182, 193
255, 255, 255
255, 255, 255
255, 255, 255
255, 255, 255
255, 255, 255
255, 255, 255
255, 182, 193
255, 182, 193
255, 182, 193
255, 182, 193
255, 255, 255
255, 255, 255
255, 255, 255
